No.,nameen,ROCKTYPEid,slope-deg,IDW-5d,ls-value,latitude,longitude,STN0045,STN0075,STN0254
"674617",Tree,"2",14.06855583,54.764555,"0",18.8210845019024,98.8844204175538,5682.401345,15864.83297,8799.573823
"674618",Tree,"2",6.14724827,54.764555,"0",18.8210845313052,98.8844678729547,5687.389439,15867.25928,8799.70736
"674619",Tree,"2",6.14724827,54.737922,"0",18.8210845680416,98.884527192206,5693.624591,15870.29386,8799.878276
"674620",Tree,"2",7.64140511,54.737922,"0",18.8210845974172,98.8845746476072,5698.61274,15872.72287,8800.018206
"674621",Tree,"2",7.64140511,54.711326,"0",18.8210846341197,98.8846339668588,5704.84796,15875.76084,8800.197112
"674622",Tree,"2",15.11946106,54.711326,"0",18.8210846634681,98.8846814222601,5709.836163,15878.19257,8800.343434
"674623",Tree,"2",15.11946106,54.684767,"0",18.8210846939043,98.8847306572391,5715.01145,15880.71676,8800.498244
"674624",Tree,"2",15.11946106,54.658247,"0",18.8210847294579,98.8847881969135,5721.059709,15883.66836,8800.683042
"674625",Tree,"2",23.39650154,54.658247,"0",18.821084758767,98.8848356523151,5726.04799,15886.10399,8800.838594
"676507",Tree,"2",15.11946106,55.190085,"0",18.8209830979904,98.8830442804984,5536.917562,15785.2217,8808.066553
"676510",Tree,"2",15.11946106,55.162941,"0",18.8209831351794,98.8831035997111,5543.152708,15788.21262,8808.130787
"676511",Tree,"2",14.36605644,55.162941,"0",18.8210283243841,98.8831035684758,5543.527046,15792.60496,8803.129078
"676512",Tree,"2",17.23186493,55.162941,"0",18.820983164917,98.8831510550814,5548.140852,15790.60673,8808.18537
"676513",Tree,"2",16.08989334,55.162941,"0",18.8210283541218,98.8831510238588,5548.514854,15794.9984,8803.183692
"676514",Tree,"2",17.23186493,55.135831,"0",18.8209832020721,98.8832103742944,5554.376069,15793.60108,8808.257593
"676515",Tree,"2",16.08989334,55.135831,"0",18.821028391277,98.8832103430876,5554.74965,15797.99193,8803.255956
"676516",Tree,"2",16.83869743,55.135831,"0",18.8209832317826,98.8832578296649,5559.364269,15795.99794,8808.318566
"676517",Tree,"2",16.45168495,55.135831,"0",18.8210284209875,98.8832577984708,5559.737516,15800.38812,8803.316964
"676518",Bare Soil,"2",16.83869743,55.108756,"0",18.8209832625945,98.8833070646119,5564.539554,15798.48597,8808.384827
"676519",Bare Soil,"2",16.45168495,55.108756,"0",18.8210284517995,98.8833070334309,5564.912453,15802.87546,8803.383263
"676520",Bare Soil,"2",16.83869743,55.081716,"0",18.820983298587,98.8833646042488,5570.587812,15801.39533,8808.466139
"676521",Bare Soil,"2",16.45168495,55.081716,"0",18.8210284877922,98.8833645730832,5570.960306,15805.78401,8803.464621
"676522",Bare Soil,"2",17.29910851,55.081716,"0",18.8209833282583,98.8834120596196,5575.576093,15803.79615,8808.536342
"676523",Bare Soil,"2",17.38270378,55.081716,"0",18.8210285174635,98.8834120284667,5575.948254,15808.18416,8803.534864
"676524",Grass,"2",17.29910851,55.054711,"0",18.8209833653304,98.8834713788332,5581.811478,15806.79889,8808.628089
"676525",Grass,"2",17.38270378,55.054711,"0",18.8210285545356,98.8834713476961,5582.183224,15811.18607,8803.626663
"676526",Grass,"2",18.64143944,55.054711,"0",18.8209833949744,98.8835188342042,5586.799815,15809.20245,8808.704682
"676527",Grass,"2",19.25354195,55.054711,"0",18.8210285841798,98.8835188030798,5587.171228,15813.58897,8803.703299
"676528",Grass,"2",18.64143944,55.027741,"0",18.8209834320125,98.883578153418,5593.035269,15812.20862,8808.804416
"676529",Grass,"2",19.25354195,55.027741,"0",18.821028621218,98.8835781223095,5593.406269,15816.59429,8803.80309
